"""'Workflow""","""'Has job failures""","""'Avg run time""","""'Workflow runs""","""'Jobs"""
"""'.github/workflows/test_collector.yml""",47.50,31490,40,1
"""'.github/workflows/smoke_phio.yml""",0.00,21068,9,1
"""'.github/workflows/python-package.yml""",100.00,17565,5,4
"""'.github/workflows/main.yml""",72.22,14145,18,1
"""'.github/workflows/python-app.yml""",4.76,13613,21,1
"""'.github/workflows/phi_ci.yml""",44.44,12462,153,4
"""'.github/workflows/ci.yml""",87.18,10946,39,1
"""'.github/workflows/generate_baseline.yml""",27.27,10054,11,2
"""'.github/workflows/generate_contract_baseline.yml""",100.00,9099,3,1
"""'.github/workflows/collector_debug.yml""",0.00,5202,1,1
"""'.github/workflows/smoke.yml""",92.00,5137,25,1
